learning_rate,finetune_learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,finetune_width_shift,finetune_height_shift,finetune_shear,finetune_zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,finetune_rotation,horizontal_flip,finetune_horizontal_flip,epochs,finetune_epochs,num_fixed_layers,reinitialize_weights
0.0009783018867924528,0.0007537735849056605,0.48113207547169806,0.35,0.4245283018867924,0.48113207547169806,0.6141509433962263,0.560377358490566,0.05660377358490566,0.16981132075471697,0.4952830188679245,0.3132075471698113,4.0,1.0,0.0,5.0,6.0,7.0,275.0,350.0,1.0,0.0,5.0,1767.0,10.0,0.0
0.004583962264150944,0.00785188679245283,0.560377358490566,0.5613207547169811,0.15283018867924528,0.005660377358490566,0.00660377358490566,0.3452830188679245,0.32075471698113206,0.22264150943396227,0.0330188679245283,0.16226415094339622,3.0,3.0,1.0,3.0,4.0,9.0,221.0,336.0,0.0,0.0,10.0,1839.0,6.0,1.0
0.0025499999999999997,0.003742452830188679,0.15283018867924528,0.32358490566037734,0.32264150943396225,0.3339622641509434,0.5745283018867924,0.5943396226415094,0.27547169811320754,0.0037735849056603774,0.3632075471698113,0.2679245283018868,5.0,1.0,0.0,4.0,4.0,9.0,166.0,71.0,0.0,0.0,6.0,1659.0,9.0,0.0
0.00014622641509433963,0.0018745283018867926,0.4471698113207547,0.41603773584905657,0.2547169811320754,0.2433962264150943,0.5216981132075471,0.43584905660377354,0.12452830188679245,0.3283018867924528,0.48207547169811316,0.19245283018867926,3.0,1.0,1.0,4.0,4.0,8.0,51.0,228.0,0.0,1.0,4.0,1588.0,3.0,0.0
0.0015330188679245282,0.0015009433962264152,0.17547169811320754,0.15188679245283018,0.13018867924528302,0.1641509433962264,0.0990566037735849,0.3339622641509434,0.2,0.17735849056603775,0.600943396226415,0.33584905660377357,4.0,1.0,1.0,4.0,5.0,10.0,343.0,153.0,1.0,0.0,5.0,799.0,4.0,0.0
0.003382075471698113,0.007478301886792453,0.02830188679245283,0.29716981132075465,0.18679245283018867,0.10754716981132074,0.5613207547169811,0.07358490566037736,0.3886792452830189,0.36603773584905663,0.3764150943396226,0.3433962264150943,4.0,2.0,1.0,4.0,7.0,9.0,248.0,357.0,0.0,0.0,4.0,1516.0,1.0,0.0
0.002734905660377358,0.0028084905660377356,0.3792452830188679,0.38962264150943393,0.5377358490566037,0.3,0.5084905660377358,0.13018867924528302,0.07169811320754717,0.12452830188679245,0.2443396226415094,0.27547169811320754,2.0,1.0,1.0,5.0,7.0,8.0,350.0,194.0,1.0,0.0,8.0,1624.0,9.0,0.0
0.0017179245283018866,0.008972641509433962,0.1641509433962264,0.6141509433962263,0.4584905660377358,0.5377358490566037,0.29716981132075465,0.32264150943396225,0.3433962264150943,0.38113207547169814,0.35,0.23018867924528302,4.0,1.0,0.0,5.0,6.0,7.0,323.0,316.0,1.0,0.0,8.0,154.0,7.0,1.0
0.0020877358490566035,0.00038018867924528307,0.09622641509433962,0.4292452830188679,0.1981132075471698,0.5264150943396225,0.4556603773584905,0.4132075471698113,0.17735849056603775,0.033962264150943396,0.5216981132075471,0.3283018867924528,5.0,1.0,1.0,4.0,6.0,6.0,255.0,139.0,1.0,1.0,5.0,1014.0,9.0,1.0
0.004768867924528302,0.0013141509433962266,0.5490566037735849,0.6537735849056604,0.560377358490566,0.05094339622641509,0.1650943396226415,0.3,0.07924528301886792,0.06415094339622641,0.15188679245283018,0.12452830188679245,4.0,1.0,2.0,4.0,5.0,7.0,282.0,295.0,0.0,0.0,9.0,620.0,3.0,1.0
0.001810377358490566,0.009906603773584906,0.2547169811320754,0.680188679245283,0.17547169811320754,0.09622641509433962,0.600943396226415,0.17547169811320754,0.2981132075471698,0.20754716981132076,0.6537735849056604,0.39622641509433965,4.0,2.0,2.0,5.0,4.0,8.0,262.0,31.0,1.0,1.0,4.0,1373.0,12.0,1.0
0.0021801886792452824,0.008038679245283018,0.3452830188679245,0.05943396226415094,0.03962264150943396,0.5716981132075472,0.2311320754716981,0.5716981132075472,0.1169811320754717,0.13962264150943396,0.2575471698113207,0.30566037735849055,2.0,0.0,1.0,4.0,5.0,7.0,98.0,119.0,0.0,1.0,5.0,1337.0,5.0,0.0
0.004399056603773584,0.006731132075471698,0.23207547169811318,0.01981132075471698,0.09622641509433962,0.43584905660377354,0.04622641509433962,0.15283018867924528,0.33584905660377357,0.23773584905660378,0.07264150943396226,0.16981132075471697,4.0,3.0,0.0,4.0,6.0,8.0,37.0,78.0,0.0,1.0,10.0,476.0,11.0,1.0
0.0028273584905660373,0.0005669811320754718,0.5830188679245283,0.04622641509433962,0.3339622641509434,0.4924528301886792,0.6273584905660377,0.08490566037735849,0.08679245283018869,0.30566037735849055,0.6273584905660377,0.041509433962264156,3.0,2.0,1.0,4.0,5.0,7.0,295.0,24.0,0.0,1.0,8.0,1193.0,5.0,0.0
0.004121698113207547,0.00934622641509434,0.2433962264150943,0.08584905660377358,0.2660377358490566,0.13018867924528302,0.5877358490566037,0.5830188679245283,0.23018867924528302,0.21509433962264152,0.46886792452830184,0.0037735849056603774,3.0,2.0,0.0,6.0,7.0,7.0,105.0,17.0,0.0,0.0,8.0,548.0,2.0,0.0
0.004214150943396226,0.003929245283018868,0.390566037735849,0.21792452830188677,0.3792452830188679,0.5150943396226414,0.05943396226415094,0.2547169811320754,0.22264150943396227,0.32075471698113206,0.00660377358490566,0.20754716981132076,2.0,2.0,2.0,4.0,7.0,6.0,160.0,180.0,1.0,0.0,6.0,1875.0,2.0,0.0
0.0038443396226415087,0.002621698113207547,0.13018867924528302,0.5481132075471697,0.005660377358490566,0.03962264150943396,0.08584905660377358,0.28867924528301886,0.15471698113207547,0.19245283018867926,0.40283018867924525,0.09433962264150944,3.0,0.0,0.0,5.0,6.0,9.0,44.0,289.0,1.0,0.0,4.0,261.0,1.0,0.0
0.0013481132075471697,0.008599056603773584,0.4924528301886792,0.2575471698113207,0.22075471698113205,0.28867924528301886,0.6405660377358491,0.36792452830188677,0.01886792452830189,0.2830188679245283,0.5481132075471697,0.32075471698113206,3.0,0.0,1.0,4.0,5.0,9.0,357.0,65.0,0.0,1.0,9.0,1480.0,4.0,0.0
0.004491509433962264,0.009533018867924528,0.5377358490566037,0.28396226415094333,0.40188679245283015,0.15283018867924528,0.4292452830188679,0.1981132075471698,0.39622641509433965,0.08679245283018869,0.20471698113207545,0.06415094339622641,3.0,1.0,1.0,4.0,5.0,8.0,58.0,112.0,0.0,1.0,6.0,1946.0,4.0,1.0
0.0032896226415094335,0.0041160377358490565,0.35660377358490564,0.11226415094339622,0.46981132075471693,0.2547169811320754,0.28396226415094333,0.18679245283018867,0.09433962264150944,0.3584905660377358,0.4556603773584905,0.21509433962264152,3.0,3.0,1.0,6.0,5.0,10.0,92.0,255.0,1.0,0.0,9.0,1158.0,12.0,1.0
0.0034745283018867918,0.008225471698113208,0.46981132075471693,0.4424528301886792,0.10754716981132074,0.062264150943396226,0.0330188679245283,0.5264150943396225,0.2830188679245283,0.07924528301886792,0.19150943396226414,0.2981132075471698,5.0,3.0,1.0,4.0,5.0,6.0,132.0,105.0,0.0,1.0,10.0,942.0,12.0,1.0
0.003012264150943396,0.00654433962264151,0.18679245283018867,0.4556603773584905,0.36792452830188677,0.5490566037735849,0.48207547169811316,0.4924528301886792,0.21509433962264152,0.04905660377358491,0.05943396226415094,0.01886792452830189,3.0,2.0,1.0,6.0,6.0,9.0,3.0,126.0,0.0,0.0,3.0,978.0,5.0,0.0
