learning_rate,finetune_learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,finetune_width_shift,finetune_height_shift,finetune_shear,finetune_zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,finetune_rotation,horizontal_flip,finetune_horizontal_flip,epochs,finetune_epochs,num_fixed_layers,reinitialize_weights
0.0024575471698113204,0.0043028301886792455,0.4584905660377358,0.680188679245283,0.005660377358490566,0.5830188679245283,0.2443396226415094,0.5716981132075472,0.01886792452830189,0.32075471698113206,0.6405660377358491,0.07169811320754717,3.0,1.0,2.0,6.0,6.0,9.0,295.0,65.0,1.0,0.0,8.0,1875.0,7.0,1.0
0.0036594339622641504,0.006917924528301887,0.08490566037735849,0.11226415094339622,0.5037735849056603,0.18679245283018867,0.5613207547169811,0.4924528301886792,0.23773584905660378,0.08679245283018869,0.01981132075471698,0.041509433962264156,3.0,2.0,0.0,3.0,6.0,9.0,112.0,139.0,0.0,0.0,6.0,763.0,2.0,0.0
0.0034745283018867918,0.0013141509433962266,0.5377358490566037,0.40283018867924525,0.2433962264150943,0.4584905660377358,0.4952830188679245,0.4584905660377358,0.21509433962264152,0.22264150943396227,0.12547169811320752,0.011320754716981133,4.0,0.0,2.0,5.0,5.0,9.0,24.0,309.0,1.0,0.0,5.0,584.0,6.0,0.0
0.004399056603773584,0.00038018867924528307,0.390566037735849,0.15188679245283018,0.09622641509433962,0.32264150943396225,0.04622641509433962,0.5943396226415094,0.20754716981132076,0.01886792452830189,0.310377358490566,0.27547169811320754,5.0,1.0,2.0,4.0,7.0,5.0,166.0,44.0,0.0,0.0,6.0,656.0,4.0,1.0
0.001902830188679245,0.002621698113207547,0.3113207547169811,0.6405660377358491,0.18679245283018867,0.13018867924528302,0.28396226415094333,0.3792452830188679,0.16981132075471697,0.13962264150943396,0.21792452830188677,0.2830188679245283,3.0,3.0,2.0,4.0,4.0,7.0,3.0,58.0,0.0,0.0,8.0,512.0,9.0,1.0
0.003104716981132075,0.002061320754716981,0.36792452830188677,0.08584905660377358,0.46981132075471693,0.02830188679245283,0.0330188679245283,0.43584905660377354,0.1320754716981132,0.38113207547169814,0.04622641509433962,0.2679245283018868,3.0,2.0,1.0,5.0,6.0,7.0,98.0,119.0,0.0,0.0,7.0,942.0,8.0,0.0
0.0029198113207547166,0.008225471698113208,0.40188679245283015,0.28396226415094333,0.4924528301886792,0.1641509433962264,0.1650943396226415,0.13018867924528302,0.3132075471698113,0.06415094339622641,0.17830188679245282,0.13962264150943396,2.0,3.0,0.0,4.0,5.0,9.0,37.0,329.0,0.0,0.0,4.0,1122.0,2.0,1.0
0.0009783018867924528,0.0024349056603773585,0.4132075471698113,0.01981132075471698,0.08490566037735849,0.1981132075471698,0.2575471698113207,0.05094339622641509,0.06415094339622641,0.011320754716981133,0.5877358490566037,0.29056603773584905,3.0,0.0,0.0,5.0,5.0,9.0,44.0,350.0,0.0,1.0,6.0,369.0,8.0,0.0
0.002272641509433962,0.00934622641509434,0.5264150943396225,0.4952830188679245,0.3792452830188679,0.22075471698113205,0.6537735849056604,0.4245283018867924,0.23018867924528302,0.2830188679245283,0.5084905660377358,0.1849056603773585,3.0,1.0,1.0,5.0,4.0,8.0,241.0,241.0,1.0,1.0,3.0,261.0,3.0,1.0
0.004583962264150944,0.004863207547169812,0.3339622641509434,0.4424528301886792,0.5377358490566037,0.4924528301886792,0.07264150943396226,0.08490566037735849,0.08679245283018869,0.3584905660377358,0.1650943396226415,0.12452830188679245,2.0,2.0,1.0,6.0,4.0,10.0,187.0,51.0,0.0,1.0,5.0,799.0,11.0,1.0
