learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,horizontal_flip,epochs
0.004480303030303031,0.3363636363636363,0.010606060606060605,0.5727272727272728,0.3,0.6681818181818182,0.11818181818181817,3.0,1.0,1.0,4.0,5.0,9.0,27.0,1.0,1972.0
0.0016590909090909093,0.5545454545454546,0.35,0.0818181818181818,0.00909090909090909,0.4772727272727273,0.26363636363636367,5.0,3.0,1.0,5.0,5.0,5.0,289.0,1.0,1525.0
0.003589393939393939,0.2818181818181818,0.3075757575757576,0.1727272727272727,0.5909090909090909,0.6045454545454545,0.37272727272727274,5.0,2.0,2.0,6.0,6.0,8.0,213.0,0.0,2866.0
0.004331818181818182,0.22727272727272727,0.24393939393939393,0.2818181818181818,0.5727272727272728,0.05303030303030303,0.4636363636363636,4.0,3.0,0.0,6.0,4.0,10.0,5.0,0.0,1436.0
0.0003227272727272727,0.045454545454545456,0.4560606060606061,0.35454545454545455,0.02727272727272727,0.646969696969697,0.02727272727272727,3.0,3.0,1.0,4.0,6.0,9.0,235.0,0.0,2598.0
0.004183333333333334,0.3,0.3287878787878788,0.22727272727272727,0.4636363636363636,0.5833333333333334,0.19090909090909094,3.0,2.0,2.0,4.0,6.0,10.0,104.0,0.0,1614.0
0.003143939393939394,0.5181818181818182,0.6893939393939393,0.5909090909090909,0.24545454545454543,0.22272727272727275,0.1,4.0,2.0,2.0,4.0,6.0,9.0,60.0,1.0,720.0
0.0015106060606060604,0.39090909090909093,0.6681818181818182,0.1,0.15454545454545454,0.4348484848484848,0.48181818181818176,4.0,3.0,2.0,6.0,7.0,9.0,202.0,1.0,452.0
0.0028469696969696963,0.4272727272727273,0.6257575757575757,0.02727272727272727,0.1727272727272727,0.11666666666666667,0.4090909090909091,5.0,1.0,0.0,4.0,4.0,7.0,300.0,1.0,273.0
0.0029954545454545455,0.3181818181818182,0.5196969696969697,0.4636363636363636,0.5181818181818182,0.2863636363636363,0.13636363636363638,3.0,3.0,1.0,5.0,6.0,7.0,344.0,0.0,899.0
0.0012136363636363638,0.37272727272727274,0.22272727272727275,0.39090909090909093,0.045454545454545456,0.4560606060606061,0.5909090909090909,3.0,2.0,1.0,6.0,7.0,6.0,16.0,0.0,1793.0
0.004777272727272727,0.4636363636363636,0.4348484848484848,0.00909090909090909,0.19090909090909094,0.20151515151515148,0.0818181818181818,3.0,0.0,1.0,4.0,4.0,7.0,38.0,0.0,989.0
0.0032924242424242425,0.19090909090909094,0.37121212121212116,0.5545454545454546,0.26363636363636367,0.5409090909090909,0.44545454545454544,3.0,2.0,2.0,4.0,6.0,9.0,82.0,0.0,2777.0
0.0007681818181818181,0.4090909090909091,0.562121212121212,0.19090909090909094,0.0818181818181818,0.35,0.2818181818181818,2.0,2.0,1.0,6.0,6.0,8.0,333.0,0.0,2240.0
0.003440909090909091,0.48181818181818176,0.05303030303030303,0.4090909090909091,0.39090909090909093,0.37121212121212116,0.00909090909090909,4.0,2.0,1.0,4.0,7.0,10.0,71.0,0.0,2955.0
0.0004712121212121212,0.5,0.5833333333333334,0.15454545454545454,0.4272727272727273,0.41363636363636364,0.2090909090909091,2.0,1.0,1.0,4.0,6.0,6.0,322.0,1.0,631.0
0.002253030303030303,0.5727272727272728,0.5409090909090909,0.4272727272727273,0.5363636363636364,0.4984848484848485,0.3363636363636363,2.0,2.0,2.0,3.0,7.0,6.0,256.0,1.0,95.0
0.004034848484848485,0.0818181818181818,0.031818181818181815,0.2090909090909091,0.5545454545454546,0.5196969696969697,0.06363636363636363,4.0,1.0,1.0,5.0,4.0,8.0,125.0,0.0,2419.0
0.002698484848484848,0.00909090909090909,0.26515151515151514,0.3181818181818182,0.5,0.010606060606060605,0.24545454545454543,4.0,2.0,1.0,5.0,6.0,5.0,158.0,1.0,184.0
0.0009166666666666668,0.35454545454545455,0.2863636363636363,0.3,0.3181818181818182,0.031818181818181815,0.22727272727272727,4.0,2.0,0.0,4.0,5.0,8.0,136.0,1.0,2508.0
0.0024015151515151515,0.5909090909090909,0.6045454545454545,0.06363636363636363,0.2818181818181818,0.1590909090909091,0.045454545454545456,4.0,0.0,1.0,4.0,5.0,8.0,278.0,0.0,1167.0
0.0018075757575757576,0.1727272727272727,0.39242424242424234,0.44545454545454544,0.35454545454545455,0.24393939393939393,0.3181818181818182,4.0,1.0,2.0,5.0,4.0,8.0,191.0,1.0,1346.0
0.001065151515151515,0.2090909090909091,0.1590909090909091,0.13636363636363638,0.11818181818181817,0.13787878787878785,0.5727272727272728,2.0,1.0,2.0,4.0,6.0,9.0,180.0,0.0,1257.0
0.001956060606060606,0.02727272727272727,0.646969696969697,0.045454545454545456,0.13636363636363638,0.09545454545454544,0.5545454545454546,5.0,2.0,1.0,5.0,5.0,6.0,224.0,0.0,2687.0
0.0025499999999999997,0.26363636363636367,0.07424242424242423,0.37272727272727274,0.37272727272727274,0.562121212121212,0.35454545454545455,4.0,1.0,1.0,3.0,5.0,9.0,49.0,0.0,2151.0
0.0006196969696969697,0.15454545454545454,0.4984848484848485,0.24545454545454543,0.4090909090909091,0.3287878787878788,0.4272727272727273,3.0,1.0,1.0,3.0,5.0,8.0,169.0,1.0,1883.0
0.00017424242424242425,0.11818181818181817,0.09545454545454544,0.26363636363636367,0.48181818181818176,0.26515151515151514,0.5,4.0,1.0,0.0,6.0,4.0,7.0,93.0,0.0,1078.0
0.0037378787878787874,0.24545454545454543,0.4772727272727273,0.5363636363636364,0.3363636363636363,0.6257575757575757,0.1727272727272727,2.0,0.0,0.0,5.0,5.0,6.0,245.0,1.0,363.0
0.0049257575757575755,0.1,0.13787878787878785,0.11818181818181817,0.06363636363636363,0.3075757575757576,0.5181818181818182,5.0,0.0,1.0,3.0,7.0,6.0,267.0,1.0,542.0
0.003886363636363636,0.44545454545454544,0.11666666666666667,0.3363636363636363,0.22727272727272727,0.07424242424242423,0.3,4.0,1.0,0.0,5.0,5.0,5.0,147.0,1.0,2061.0
0.002104545454545454,0.13636363636363638,0.1803030303030303,0.5,0.44545454545454544,0.39242424242424234,0.39090909090909093,3.0,0.0,0.0,5.0,5.0,6.0,311.0,1.0,2330.0
0.004628787878787879,0.5363636363636364,0.20151515151515148,0.48181818181818176,0.1,0.6893939393939393,0.5363636363636364,3.0,0.0,0.0,5.0,6.0,7.0,115.0,1.0,1704.0
0.001362121212121212,0.06363636363636363,0.41363636363636364,0.5181818181818182,0.2090909090909091,0.1803030303030303,0.15454545454545454,2.0,2.0,1.0,3.0,6.0,7.0,355.0,0.0,810.0
0.0008873704485534617,0.38496763045199245,0.573191613220292,0.32796226737442674,0.05994890316952116,0.3753858426345346,0.4349603347460185,2.0,2.0,0.0,4.0,5.0,7.0,360.0,0.0,2976.0
0.0005300923229879588,0.220777110332281,0.39214568465300204,0.28150234124524354,0.04491049789124809,0.3757174469303414,0.26861860595458203,2.0,0.0,2.0,6.0,6.0,8.0,345.0,0.0,1821.0
0.00022215243347530392,0.4238390097394455,0.4765573912393482,0.17150292905955022,0.1694922964824575,0.32712314031986317,0.2818181818181818,2.0,1.0,2.0,6.0,6.0,7.0,355.0,1.0,2084.0
0.00048783333461132537,0.40484990648527536,0.562121212121212,0.18560536856486645,0.011773989364072951,0.23620018329342804,0.2818181818181818,2.0,0.0,1.0,6.0,7.0,6.0,333.0,1.0,2240.0
0.002413064556530686,0.5125031719682233,0.34894622931869423,0.2972014417188322,0.1162096026618309,0.35,0.3185942923879248,3.0,2.0,1.0,6.0,6.0,9.0,354.0,0.0,2484.0
0.0005216165366309061,0.4090909090909091,0.562121212121212,0.4324677801251111,0.05240308211414911,0.35,0.2818181818181818,2.0,1.0,1.0,5.0,5.0,8.0,352.0,0.0,2799.0
0.0007681818181818181,0.5113650335618878,0.5902382903255596,0.46936671318332257,0.0818181818181818,0.49100436408641646,0.3597561283472177,2.0,1.0,0.0,5.0,4.0,8.0,284.0,0.0,2062.0
