learning_rate,dropout_rate1,dropout_rate2,width_shift,height_shift,shear,zoom,num_conv_layers,num_dense_layers,num_maxpools,neurons_first_conv,neurons_remaining_conv,neurons_dense,rotation,horizontal_flip,epochs
0.001956060606060606,0.3363636363636363,0.41363636363636364,0.24545454545454543,0.4090909090909091,0.41363636363636364,0.2818181818181818,4.0,2.0,1.0,5.0,5.0,8.0,60.0,0.0,1614.0
0.004034848484848485,0.5,0.4560606060606061,0.39090909090909093,0.02727272727272727,0.1803030303030303,0.06363636363636363,5.0,0.0,2.0,5.0,5.0,8.0,27.0,1.0,2866.0
0.0032924242424242425,0.02727272727272727,0.6257575757575757,0.5181818181818182,0.35454545454545455,0.11666666666666667,0.045454545454545456,5.0,3.0,1.0,4.0,5.0,7.0,300.0,0.0,720.0
0.002698484848484848,0.0818181818181818,0.5833333333333334,0.19090909090909094,0.22727272727272727,0.1590909090909091,0.48181818181818176,4.0,1.0,1.0,5.0,5.0,8.0,93.0,1.0,1257.0
0.002253030303030303,0.44545454545454544,0.5196969696969697,0.4090909090909091,0.3,0.37121212121212116,0.5727272727272728,5.0,0.0,2.0,4.0,4.0,7.0,235.0,1.0,542.0
0.003589393939393939,0.00909090909090909,0.4348484848484848,0.0818181818181818,0.4272727272727273,0.24393939393939393,0.11818181818181817,3.0,2.0,1.0,5.0,6.0,5.0,213.0,0.0,1078.0
0.0012136363636363638,0.35454545454545455,0.05303030303030303,0.2818181818181818,0.06363636363636363,0.6681818181818182,0.37272727272727274,4.0,1.0,0.0,4.0,6.0,9.0,136.0,0.0,631.0
0.0009166666666666668,0.22727272727272727,0.6893939393939393,0.045454545454545456,0.39090909090909093,0.4984848484848485,0.5545454545454546,3.0,0.0,1.0,4.0,6.0,9.0,267.0,1.0,95.0
0.003143939393939394,0.24545454545454543,0.26515151515151514,0.35454545454545455,0.1,0.09545454545454544,0.22727272727272727,4.0,2.0,2.0,4.0,6.0,10.0,191.0,1.0,1436.0
0.0025499999999999997,0.3181818181818182,0.22272727272727275,0.5727272727272728,0.0818181818181818,0.07424242424242423,0.5363636363636364,3.0,3.0,1.0,4.0,5.0,6.0,49.0,0.0,810.0
0.0028469696969696963,0.5727272727272728,0.5409090909090909,0.5545454545454546,0.5909090909090909,0.26515151515151514,0.00909090909090909,3.0,2.0,2.0,4.0,4.0,6.0,38.0,1.0,1704.0
0.0016590909090909093,0.26363636363636367,0.2863636363636363,0.26363636363636367,0.44545454545454544,0.3287878787878788,0.1727272727272727,3.0,2.0,0.0,5.0,6.0,8.0,115.0,1.0,2240.0
0.004480303030303031,0.1,0.3075757575757576,0.06363636363636363,0.26363636363636367,0.2863636363636363,0.5909090909090909,4.0,1.0,0.0,4.0,6.0,6.0,202.0,1.0,899.0
0.0029954545454545455,0.2818181818181818,0.1803030303030303,0.5363636363636364,0.00909090909090909,0.010606060606060605,0.35454545454545455,5.0,3.0,0.0,6.0,6.0,8.0,333.0,1.0,1525.0
0.00017424242424242425,0.5363636363636364,0.07424242424242423,0.22727272727272727,0.11818181818181817,0.5409090909090909,0.3181818181818182,2.0,2.0,1.0,5.0,4.0,8.0,245.0,0.0,1167.0
0.001362121212121212,0.37272727272727274,0.39242424242424234,0.1727272727272727,0.1727272727272727,0.3075757575757576,0.02727272727272727,2.0,1.0,1.0,4.0,5.0,8.0,16.0,0.0,2687.0
0.004628787878787879,0.15454545454545454,0.6045454545454545,0.1,0.5363636363636364,0.4348484848484848,0.4636363636363636,4.0,2.0,0.0,3.0,7.0,9.0,180.0,0.0,2508.0
0.004777272727272727,0.5909090909090909,0.13787878787878785,0.3363636363636363,0.045454545454545456,0.4772727272727273,0.1,4.0,2.0,1.0,4.0,7.0,7.0,289.0,1.0,273.0
0.003440909090909091,0.48181818181818176,0.646969696969697,0.13636363636363638,0.4636363636363636,0.05303030303030303,0.2090909090909091,4.0,0.0,1.0,3.0,4.0,9.0,256.0,1.0,2061.0
0.0015106060606060604,0.06363636363636363,0.24393939393939393,0.48181818181818176,0.5181818181818182,0.562121212121212,0.15454545454545454,5.0,2.0,2.0,5.0,5.0,5.0,125.0,1.0,1793.0
0.002104545454545454,0.19090909090909094,0.1590909090909091,0.00909090909090909,0.3181818181818182,0.6893939393939393,0.4272727272727273,2.0,1.0,1.0,6.0,5.0,9.0,311.0,0.0,1346.0
0.001065151515151515,0.1727272727272727,0.11666666666666667,0.4272727272727273,0.3363636363636363,0.20151515151515148,0.5,2.0,1.0,2.0,3.0,6.0,10.0,169.0,0.0,2419.0
0.0006196969696969697,0.045454545454545456,0.031818181818181815,0.11818181818181817,0.15454545454545454,0.6257575757575757,0.26363636363636367,3.0,2.0,1.0,6.0,6.0,6.0,355.0,1.0,2955.0
0.0007681818181818181,0.11818181818181817,0.562121212121212,0.5909090909090909,0.5,0.5196969696969697,0.24545454545454543,2.0,1.0,1.0,3.0,6.0,7.0,147.0,1.0,2777.0
0.0024015151515151515,0.3,0.6681818181818182,0.3,0.48181818181818176,0.6045454545454545,0.3,3.0,3.0,2.0,6.0,6.0,6.0,82.0,0.0,989.0
0.004331818181818182,0.4090909090909091,0.010606060606060605,0.4636363636363636,0.2818181818181818,0.13787878787878785,0.39090909090909093,4.0,3.0,1.0,4.0,7.0,7.0,5.0,0.0,452.0
0.003886363636363636,0.4272727272727273,0.20151515151515148,0.44545454545454544,0.5727272727272728,0.35,0.13636363636363638,4.0,1.0,1.0,5.0,7.0,7.0,278.0,0.0,1883.0
0.0037378787878787874,0.5181818181818182,0.37121212121212116,0.2090909090909091,0.13636363636363638,0.5833333333333334,0.4090909090909091,4.0,0.0,1.0,5.0,7.0,6.0,224.0,0.0,2330.0
0.0018075757575757576,0.2090909090909091,0.4772727272727273,0.3181818181818182,0.19090909090909094,0.646969696969697,0.3363636363636363,3.0,2.0,0.0,3.0,6.0,5.0,344.0,1.0,184.0
0.004183333333333334,0.13636363636363638,0.3287878787878788,0.5,0.24545454545454543,0.39242424242424234,0.19090909090909094,2.0,0.0,0.0,6.0,5.0,9.0,71.0,0.0,2598.0
0.0003227272727272727,0.39090909090909093,0.4984848484848485,0.37272727272727274,0.5545454545454546,0.4560606060606061,0.44545454545454544,3.0,2.0,2.0,4.0,4.0,9.0,158.0,1.0,1972.0
0.0004712121212121212,0.5545454545454546,0.09545454545454544,0.15454545454545454,0.2090909090909091,0.22272727272727275,0.0818181818181818,3.0,1.0,1.0,6.0,5.0,6.0,104.0,0.0,2151.0
0.0049257575757575755,0.4636363636363636,0.35,0.02727272727272727,0.37272727272727274,0.031818181818181815,0.5181818181818182,4.0,1.0,0.0,5.0,4.0,10.0,322.0,0.0,363.0
0.0016406716586711597,0.3543741172079213,0.6418791427281405,0.12850061596099055,0.21405230103365008,0.2985344237502118,0.03453199666869551,2.0,3.0,2.0,3.0,5.0,7.0,6.0,0.0,2436.0
0.0008646162052175453,0.511166080974792,0.6418791427281405,0.046790530936874936,0.19953019234641192,0.18857055985774965,0.15115460288069962,2.0,3.0,2.0,4.0,5.0,8.0,11.0,0.0,716.0
